feature,importance
is_high_vol,13.757838249206543
is_trending,13.495899200439453
month_cos,11.9462890625
dist_ma_30,11.258228302001953
dow_cos,11.148162841796875
range_15,11.143430709838867
dom_sin,11.137818336486816
vol_30,11.127337455749512
dom_cos,10.869097709655762
vol_15,10.73677921295166
dow_sin,10.45042610168457
atr_norm,10.400735855102539
hour_cos,10.320279121398926
mom_30,10.301403999328613
hour_sin,10.180880546569824
macd_hist,10.164706230163574
month_sin,10.082755088806152
mom_60,9.960506439208984
vol_regime_ratio,9.926668167114258
mom_15,9.760087013244629
trend_strength,9.667688369750977
imbalance_15,9.654319763183594
range_5,9.51888370513916
vol_ratio_5_30,9.309993743896484
imbalance_5,9.176839828491211
mr_x_vol,9.109855651855469
mom_5,9.069982528686523
dist_ma_15,8.957544326782227
trend_x_imb,8.829743385314941
dist_ma_15_z,8.72053337097168
range_ratio,8.604804992675781
dist_ma_5,8.593207359313965
vol_5,8.369254112243652
mom_10,8.307618141174316
mom_x_imb,7.886745929718018
num_trades_mom_5,7.635213375091553
volume_z,7.5443315505981445
trades_z,7.511343955993652
mom_3,7.454874515533447
bar_range,7.302404403686523
volume_mom_5,7.301525115966797
imbalance,6.383521556854248
