,importance
vol_5,0.14152242
trend_x_imb,0.08061235
trend_strength,0.078475095
hour_sin,0.044289187
volume_mom_5,0.03352736
imbalance_15,0.032790624
vol_regime_ratio,0.03097188
hour_cos,0.030865023
mom_3,0.028512737
vol_15,0.02482315
dom_sin,0.023411691
range_ratio,0.02287589
mom_30,0.022813236
vol_ratio_5_30,0.022640673
trades_z,0.021099918
vol_30,0.02077299
imbalance_5,0.019083997
num_trades_mom_5,0.019049866
mr_x_vol,0.017333146
dist_ma_5,0.016360162
imbalance,0.016264016
dist_ma_15_z,0.015115533
is_trending,0.014467145
month_sin,0.0142754335
mom_x_imb,0.013392896
mom_15,0.013381357
dow_sin,0.0131054595
range_15,0.013063072
month_cos,0.013007684
dow_cos,0.012777591
atr_norm,0.012730823
is_high_vol,0.012577548
macd_hist,0.012551058
mom_60,0.0124308355
dom_cos,0.01193489
dist_ma_15,0.011089898
range_5,0.010707511
dist_ma_30,0.010628074
volume_z,0.009609951
mom_10,0.009504124
mom_5,0.008222358
bar_range,0.00733139
