feature,importance
is_high_vol,12.891671180725098
is_trending,12.150320053100586
dist_ma_30,11.644706726074219
range_15,11.359725952148438
hour_sin,11.355597496032715
dom_sin,11.337235450744629
mom_60,11.051361083984375
hour_cos,10.993587493896484
dow_sin,10.99013900756836
month_sin,10.695202827453613
atr_norm,10.663355827331543
dom_cos,10.580794334411621
dow_cos,10.553034782409668
vol_30,10.527997016906738
vol_15,10.460040092468262
vol_regime_ratio,10.28208065032959
imbalance_15,10.08122444152832
mom_30,10.019440650939941
macd_hist,9.918661117553711
trend_strength,9.916918754577637
range_5,9.88676929473877
month_cos,9.59679126739502
dist_ma_15,9.594792366027832
range_ratio,9.466228485107422
vol_5,9.401214599609375
vol_ratio_5_30,9.353793144226074
mr_x_vol,9.302699089050293
trend_x_imb,9.285316467285156
dist_ma_5,9.25853443145752
imbalance_5,9.236087799072266
mom_15,9.217637062072754
dist_ma_15_z,9.149628639221191
mom_10,8.836871147155762
mom_5,8.700663566589355
mom_3,8.398250579833984
trades_z,8.086752891540527
mom_x_imb,8.01933479309082
bar_range,7.851494789123535
num_trades_mom_5,7.8038330078125
volume_mom_5,7.194111347198486
volume_z,7.03971529006958
imbalance,6.760730266571045
