feature,importance
imbalance_15,0.054730108501851366
vol_30,0.05000444355814854
mom_60,0.04803412537132246
atr_norm,0.04583742998076684
vol_regime_ratio,0.04550483050257112
dist_ma_30,0.04549111989029055
dist_ma_15,0.04437597603989593
mom_5,0.04277906395436559
macd_hist,0.041857066866235894
trend_strength,0.041014963514909845
mom_15,0.04080237193684582
vol_5,0.03896166668129005
range_ratio,0.03864558403556098
vol_ratio_5_30,0.03794143728155051
trades_z,0.033023201913335624
co_spread,0.03284047593135347
bar_range,0.0327211962867186
volume_mom_5,0.03164835463636232
volume_z,0.03134216357168812
num_trades_mom_5,0.03121338109918849
imbalance_z,0.030750477543944783
taker_buy_ratio,0.030325543231803528
imbalance,0.030299843451456365
hour_sin,0.026501913648541785
hour_cos,0.02380158805376392
close_pos_in_bar,0.022108929985206985
dow_sin,0.01628425555536502
dow_cos,0.011158486975665304
