feature,importance
vol_30,0.06246150133513579
mom_60,0.056176111869081016
vol_regime_ratio,0.05197131094406713
imbalance_15,0.05032506407172756
macd_hist,0.04815076265315804
atr_norm,0.04652215769206403
dist_ma_30,0.04640644729909734
trend_strength,0.04289193784034615
dist_ma_15,0.040877068955189215
vol_5,0.03989113544192903
mom_5,0.038485149451648756
vol_ratio_5_30,0.03837319376592191
mom_15,0.03729850654727637
range_ratio,0.036967890229509685
trades_z,0.031024044016455005
hour_sin,0.030441048818703402
num_trades_mom_5,0.030347866225724923
hour_cos,0.030198389162266474
bar_range,0.029692057161938137
imbalance_z,0.02911434237482184
volume_mom_5,0.028836952415447533
volume_z,0.028444404284373073
co_spread,0.02648301182980873
imbalance,0.025249780849907512
taker_buy_ratio,0.024475789521737623
dow_sin,0.02011131224890086
close_pos_in_bar,0.016306489275564162
dow_cos,0.012476273718198792
