feature,importance
vol_30,0.038211585970735665
vol_regime_ratio,0.036781645591929334
mom_60,0.0362707607862388
imbalance_15,0.03626761015912051
mom_30,0.0328474051503981
vol_15,0.03227698253536106
dist_ma_30,0.032091470542777986
range_15,0.031570690377402455
atr_norm,0.03087740533570224
trend_strength,0.030630835511743944
dom_sin,0.030484498657856487
macd_hist,0.028900758863985385
mom_10,0.02767973690844095
mom_15,0.026486666758346905
dist_ma_15,0.026376103004123977
imbalance_5,0.026276491326497085
range_5,0.026167327459609698
vol_5,0.026047230079987636
mr_x_vol,0.025972691759402786
vol_ratio_5_30,0.025846355769084638
range_ratio,0.02534013926610869
trend_x_imb,0.02531979730810361
dist_ma_15_z,0.02390754059556792
mom_5,0.023121884328601263
dist_ma_5,0.02298257735702158
mom_x_imb,0.022548234617124872
hour_sin,0.02144994917380305
mom_3,0.021017060289520054
dom_cos,0.0204310048092336
volume_z,0.019902852332453088
imbalance,0.019820882507401633
trades_z,0.019809461646160962
bar_range,0.019792966153330253
hour_cos,0.01957701138492822
num_trades_mom_5,0.019148283024037923
volume_mom_5,0.01897298173854186
dow_sin,0.013928246463221624
month_cos,0.012857888291268962
dow_cos,0.009832565223657688
month_sin,0.007852222263796428
is_high_vol,0.0025692014559012856
is_trending,0.0017529972214697968
