feature,importance
imbalance_15,0.040011437327800256
mom_60,0.03979693939969628
vol_30,0.03647894088539303
mom_30,0.034014936349572394
vol_15,0.032796734647153984
trend_strength,0.032679322217552674
vol_regime_ratio,0.032423676434397135
atr_norm,0.032091811136577005
dist_ma_30,0.0308626980005325
range_15,0.030849250899864882
macd_hist,0.0306357609981141
range_ratio,0.03027485288385127
dom_sin,0.029505239409313322
range_5,0.02712051376711225
hour_sin,0.026736516479539563
imbalance_5,0.0263162880964453
mom_15,0.026121347231035832
vol_5,0.025389707373238035
mom_x_imb,0.025077763178994256
mr_x_vol,0.024524139908815686
trend_x_imb,0.02446920280672255
vol_ratio_5_30,0.024399850068643217
dist_ma_15,0.02435040060347483
mom_10,0.023344279864509872
dist_ma_15_z,0.02304064060395545
hour_cos,0.022080589412863453
mom_3,0.021234250293107503
mom_5,0.02116549915208036
bar_range,0.020598451282640692
dist_ma_5,0.02016574925171288
dom_cos,0.019511673350780634
trades_z,0.019308510130002083
volume_z,0.019133689867876596
num_trades_mom_5,0.01901729383353721
imbalance,0.01827634334772833
volume_mom_5,0.018228273716049223
month_cos,0.014434817398548464
dow_sin,0.014347052280475036
dow_cos,0.008011235465371752
month_sin,0.007383545706461
is_high_vol,0.0020369501583930596
is_trending,0.0017538247800660779
