feature,importance
vol_30,0.05565414783735344
imbalance_15,0.052874673254843414
mom_60,0.05234031223410649
atr_norm,0.0482100203021159
vol_regime_ratio,0.04782282675868194
macd_hist,0.04616899373870594
dist_ma_15,0.04364537380603363
range_ratio,0.04103515189569144
vol_5,0.04080889373448772
trend_strength,0.040537930722047165
vol_ratio_5_30,0.0405184845150801
dist_ma_30,0.04031768184215048
mom_5,0.03999850082072164
mom_15,0.03789058253336702
bar_range,0.030666595766880383
trades_z,0.03035074194684347
volume_z,0.029541105933738404
num_trades_mom_5,0.029372425433499782
co_spread,0.029022344953697966
volume_mom_5,0.028661908898134515
imbalance_z,0.028202227616132593
hour_cos,0.02794354482049524
imbalance,0.027171819074500576
taker_buy_ratio,0.02709529650408057
hour_sin,0.02680240532207037
close_pos_in_bar,0.02576295883230391
dow_sin,0.01952082062814354
dow_cos,0.012062230274092456
