feature,importance
mom_60,0.06236432582142644
imbalance_15,0.054154684797217856
vol_30,0.052222659397856176
vol_regime_ratio,0.04760988935710602
macd_hist,0.04665406394260808
atr_norm,0.046229872409100585
dist_ma_30,0.04316977813317297
trend_strength,0.041332375466897546
mom_15,0.039416404862573626
vol_ratio_5_30,0.03894813392740478
vol_5,0.03741132490147945
dist_ma_15,0.036544483775401836
mom_5,0.036197632081813494
range_ratio,0.035927384069855656
bar_range,0.03238690246795107
trades_z,0.032263051406146936
volume_z,0.03203039754456669
hour_cos,0.031022007443214095
num_trades_mom_5,0.030870626291573337
co_spread,0.029670064727433224
volume_mom_5,0.028916330504367614
imbalance_z,0.02878816024865824
hour_sin,0.02776315696288161
taker_buy_ratio,0.02651241037579189
imbalance,0.02618650242974916
close_pos_in_bar,0.024462278692681496
dow_sin,0.018772077685865973
dow_cos,0.012173020275204336
