feature,importance
mom_60,0.03890574451135169
vol_30,0.03763121460174158
vol_regime_ratio,0.035353852701562126
dist_ma_30,0.032727659522775385
mom_30,0.03254030704010839
trend_strength,0.03198464241098636
dom_sin,0.03177983911830042
vol_15,0.03147615310248709
imbalance_15,0.030886611065854167
range_15,0.030616113368101664
macd_hist,0.030308195548214668
atr_norm,0.029561858362401414
mom_15,0.02823053430754956
vol_ratio_5_30,0.02799274125090508
range_ratio,0.025997777899962275
mr_x_vol,0.025997647302260066
dist_ma_15_z,0.025792443364288455
range_5,0.025038226705376955
vol_5,0.024832022385639824
dist_ma_5,0.024541391129732002
dist_ma_15,0.02437983092226893
trend_x_imb,0.02432238223887738
imbalance_5,0.023999890407404776
mom_5,0.02371739316013708
mom_3,0.022894241399408884
trades_z,0.02259975357290384
hour_cos,0.02253580273203412
mom_x_imb,0.021860948311800396
mom_10,0.021780109893985065
num_trades_mom_5,0.021264470452141575
volume_z,0.021210487443078144
volume_mom_5,0.020983509215868137
imbalance,0.01991508363768471
hour_sin,0.019738160282670045
dom_cos,0.019120241714770576
bar_range,0.018897631773797004
dow_sin,0.015118508803978421
month_cos,0.012939695830473143
dow_cos,0.008628787787502978
month_sin,0.007017622775324307
is_high_vol,0.0028703124751392303
is_trending,0.002010159469151896
