feature,importance
vol_30,0.05420513014643973
dist_ma_30,0.05256013448308404
mom_60,0.051987909736974446
atr_norm,0.050944513235265124
imbalance_15,0.049606903782378475
trend_strength,0.04808154369049948
macd_hist,0.0479354979808388
vol_regime_ratio,0.04716424142658255
mom_15,0.04661480192971864
range_ratio,0.04051954186326018
dist_ma_15,0.03964135420003545
vol_5,0.037699115959830644
mom_5,0.037265869496585474
vol_ratio_5_30,0.03637712487380155
num_trades_mom_5,0.030703111074405903
bar_range,0.03039215185458662
trades_z,0.029600110777771377
co_spread,0.029277478269738793
volume_z,0.028994746256699424
volume_mom_5,0.028589469874534427
hour_cos,0.027843944750307832
imbalance_z,0.026467780088303985
taker_buy_ratio,0.02599563332580261
imbalance,0.02514893952092984
hour_sin,0.024976094689162898
dow_sin,0.01968518067699108
close_pos_in_bar,0.019413798998078737
dow_cos,0.012307877037391992
