feature,importance
vol_30,0.038006111923363596
vol_15,0.03680149802406722
imbalance_15,0.03645122884527429
vol_regime_ratio,0.03602641874533392
mom_60,0.034622901176797984
mom_30,0.034078621471463504
imbalance_5,0.033002831825069086
range_15,0.03078846309615081
atr_norm,0.02963858378000591
dist_ma_30,0.029634258933729025
trend_strength,0.02889441114050984
macd_hist,0.0288423734424761
mom_15,0.02719006141264628
range_ratio,0.026317321968711935
dist_ma_15,0.026007295860129686
trend_x_imb,0.025967478757555996
vol_5,0.025733044562050028
dist_ma_15_z,0.025716775404664022
range_5,0.025603166996436534
vol_ratio_5_30,0.02540113042554547
dom_sin,0.02535212980686565
mom_5,0.02465335532210958
mr_x_vol,0.024490835655267957
mom_10,0.024411959085042453
mom_x_imb,0.024088278763006593
mom_3,0.022511795118988615
dom_cos,0.021955952160437643
volume_z,0.02166305038751454
imbalance,0.021078368705313568
dist_ma_5,0.021074681031973876
hour_cos,0.020709990842974233
trades_z,0.020356567949113905
volume_mom_5,0.019546377876719062
num_trades_mom_5,0.019389716539615718
bar_range,0.019052917858721753
hour_sin,0.017894497957713085
dow_sin,0.016190571879927937
month_cos,0.011247562945429977
month_sin,0.00784428066820763
dow_cos,0.007283022872327585
is_high_vol,0.002292574838417685
is_trending,0.002187533942329833
