feature,importance
atr_norm,0.047018895428721966
range_15,0.04390530637968253
imbalance_15,0.04245625672500307
trend_x_imb,0.04050817723408737
range_5,0.04041992491306079
mom_60,0.037614811877744736
dist_ma_30,0.035460630959053226
vol_30,0.034443507061605656
trend_strength,0.03215590200146031
hour_cos,0.03174919491171383
vol_15,0.030688805883626404
vol_regime_ratio,0.03057923022759932
vol_5,0.030498637249934436
vol_ratio_5_30,0.029783621286997304
dist_ma_15_z,0.029433877639921856
mom_30,0.02778127904470575
imbalance_5,0.027777566594373426
dist_ma_15,0.02630810376818885
num_trades_mom_5,0.025943599717667628
bar_range,0.02384732881527867
mr_x_vol,0.023749975061984688
mom_15,0.023647332426589392
macd_hist,0.023331659023774997
mom_10,0.022622175459561245
dist_ma_5,0.02248985793298307
range_ratio,0.022161593968918758
volume_mom_5,0.021802962467856107
mom_x_imb,0.021648477148305933
volume_z,0.02162841783875939
mom_3,0.02115278771665204
imbalance,0.020750665129391374
mom_5,0.020556062502048875
hour_sin,0.01955197227244369
trades_z,0.019457451496296192
is_trending,0.009332175559161411
dow_cos,0.004805302970931757
is_high_vol,0.004089132271827907
dow_sin,0.003574491726205789
dom_sin,0.002762000475731725
dom_cos,0.0025108488301484556
month_sin,0.0
month_cos,0.0
